timestamp,co2 ['ppm'],humidity [],open_status [],temperature ['oC']
2021-11-01 00:10:00+00:00,388,43,0,19.8
2021-11-01 00:20:00+00:00,399,44,0,19
2021-11-01 00:30:00+00:00,411,43,0,20.4
2021-11-01 00:40:00+00:00,407,43,0,19.6
2021-11-01 00:45:00+00:00,412,43,0,19.6
2021-11-01 00:55:00+00:00,386,43,0,19.7
2021-11-01 01:05:00+00:00,411,44,0,19
2021-11-01 01:15:00+00:00,386,43,0,19.8
2021-11-01 01:25:00+00:00,382,43,0,19.7
2021-11-01 01:40:00+00:00,384,43,0,20
2021-11-01 01:50:00+00:00,412,44,0,19.2
2021-11-01 02:00:00+00:00,382,44,0,19.1
2021-11-01 02:10:00+00:00,407,45,0,18.6
2021-11-01 02:20:00+00:00,411,43,0,19.3
2021-11-01 02:25:00+00:00,383,44,0,19.2
2021-11-01 02:35:00+00:00,381,44,0,19.1
2021-11-01 02:45:00+00:00,382,43,0,19.2
2021-11-01 02:55:00+00:00,388,43,0,19.9
2021-11-01 03:05:00+00:00,384,43,0,19.7
2021-11-01 03:10:00+00:00,385,43,0,19.8
2021-11-01 03:20:00+00:00,413,43,0,19.7
2021-11-01 03:30:00+00:00,406,43,0,19.6
2021-11-01 03:40:00+00:00,387,44,0,19.3
2021-11-01 03:50:00+00:00,386,45,0,18.7
2021-11-01 04:00:00+00:00,390,44,0,19.3
2021-11-01 04:05:00+00:00,411,44,0,19.3
2021-11-01 04:15:00+00:00,389,44,0,19.7
2021-11-01 04:25:00+00:00,412,44,0,19.8
2021-11-01 04:35:00+00:00,384,44,0,19.6
2021-11-01 04:40:00+00:00,399,44,0,19.5
2021-11-01 04:50:00+00:00,409,44,0,20.1
2021-11-01 05:00:00+00:00,381,45,0,19.7
2021-11-01 05:10:00+00:00,382,43,0,21.1
2021-11-01 05:25:00+00:00,390,44,0,20.4
2021-11-01 05:35:00+00:00,388,43,0,21
2021-11-01 05:45:00+00:00,399,45,0,20
2021-11-01 05:55:00+00:00,381,43,0,21.3
2021-11-01 06:10:00+00:00,412,42,0,21.5
2021-11-01 06:20:00+00:00,384,43,0,20.6
2021-11-01 06:30:00+00:00,408,45,0,19.6
2021-11-01 06:40:00+00:00,384,45,0,19.6
2021-11-01 06:45:00+00:00,397,45,0,19.9
2021-11-01 06:55:00+00:00,385,45,0,19.6
2021-11-01 07:05:00+00:00,390,43,0,21.1
2021-11-01 07:15:00+00:00,397,43,0,21.5
2021-11-01 07:20:00+00:00,414,43,0,21.6
2021-11-01 07:30:00+00:00,385,44,0,20.9
2021-11-01 07:40:00+00:00,382,42,0,21.8
2021-11-01 07:50:00+00:00,384,43,0,20.7
2021-11-01 07:55:00+00:00,409,43,0,20.7
2021-11-01 08:05:00+00:00,405,44,0,20.3
2021-11-01 08:15:00+00:00,397,42,0,21.3
2021-11-01 08:25:00+00:00,384,44,0,20
2021-11-01 08:35:00+00:00,382,45,0,19.3
2021-11-01 08:40:00+00:00,403,45,0,19.4
2021-11-01 08:50:00+00:00,383,45,0,19.3
2021-11-01 09:00:00+00:00,408,46,0,18.6
2021-11-01 09:10:00+00:00,408,44,0,19.8
2021-11-01 09:15:00+00:00,384,44,0,19.7
2021-11-01 09:25:00+00:00,380,45,0,18.8
2021-11-01 09:35:00+00:00,386,44,0,19.8
2021-11-01 09:45:00+00:00,407,45,0,19
2021-11-01 09:55:00+00:00,384,44,0,19.9
2021-11-01 10:00:00+00:00,382,44,0,19.8
2021-11-01 10:10:00+00:00,408,43,0,20.1
2021-11-01 10:20:00+00:00,396,42,0,21.4
