timestamp,co2 ['ppm'],humidity [],temperature ['oC']
2021-11-01 00:05:00+00:00,419,51,18.3
2021-11-01 00:10:00+00:00,389,51,18.3
2021-11-01 00:20:00+00:00,391,51,18.3
2021-11-01 00:30:00+00:00,390,51,18.3
2021-11-01 00:40:00+00:00,416,51,18.3
2021-11-01 00:50:00+00:00,398,51,18.2
2021-11-01 00:55:00+00:00,398,51,18.3
2021-11-01 01:05:00+00:00,390,51,18.2
2021-11-01 01:15:00+00:00,391,51,18.2
2021-11-01 01:25:00+00:00,400,51,18.2
2021-11-01 01:40:00+00:00,390,51,18.2
2021-11-01 01:50:00+00:00,390,51,18.2
2021-11-01 02:00:00+00:00,405,51,18.2
2021-11-01 02:10:00+00:00,393,51,18.1
2021-11-01 02:20:00+00:00,416,51,18.1
2021-11-01 02:25:00+00:00,390,51,18.1
2021-11-01 02:35:00+00:00,390,51,18.1
2021-11-01 02:45:00+00:00,416,51,18.1
2021-11-01 02:55:00+00:00,400,51,18
2021-11-01 03:05:00+00:00,390,51,18
2021-11-01 03:10:00+00:00,389,51,18
2021-11-01 03:20:00+00:00,420,51,18
2021-11-01 03:30:00+00:00,390,51,18
2021-11-01 03:40:00+00:00,390,51,18
2021-11-01 03:50:00+00:00,397,51,18
2021-11-01 04:00:00+00:00,390,51,18
2021-11-01 04:05:00+00:00,416,51,18
2021-11-01 04:15:00+00:00,406,51,18
2021-11-01 04:25:00+00:00,416,51,18
2021-11-01 04:35:00+00:00,418,51,18
2021-11-01 04:50:00+00:00,416,51,18
2021-11-01 05:00:00+00:00,390,51,18
2021-11-01 05:10:00+00:00,391,51,18
2021-11-01 05:25:00+00:00,390,51,17.9
2021-11-01 05:35:00+00:00,390,51,17.9
2021-11-01 05:45:00+00:00,412,51,17.9
2021-11-01 05:55:00+00:00,390,51,17.9
2021-11-01 06:00:00+00:00,389,51,17.9
2021-11-01 06:10:00+00:00,401,51,17.9
2021-11-01 06:20:00+00:00,396,51,17.9
2021-11-01 06:30:00+00:00,390,52,17.9
2021-11-01 06:45:00+00:00,411,52,17.9
2021-11-01 06:55:00+00:00,388,52,17.9
2021-11-01 07:05:00+00:00,415,52,17.9
2021-11-01 07:15:00+00:00,388,52,17.9
2021-11-01 07:20:00+00:00,389,52,17.9
2021-11-01 07:30:00+00:00,392,52,17.9
2021-11-01 07:40:00+00:00,416,52,17.9
2021-11-01 07:50:00+00:00,390,52,17.9
2021-11-01 07:55:00+00:00,389,52,17.9
2021-11-01 08:05:00+00:00,384,52,17.9
2021-11-01 08:15:00+00:00,384,52,17.9
2021-11-01 08:25:00+00:00,388,52,17.9
2021-11-01 08:35:00+00:00,392,52,17.9
2021-11-01 08:40:00+00:00,388,52,17.9
2021-11-01 08:50:00+00:00,410,52,17.5
2021-11-01 09:00:00+00:00,415,53,17.1
2021-11-01 09:10:00+00:00,435,54,17
2021-11-01 09:15:00+00:00,441,54,16.9
2021-11-01 09:25:00+00:00,441,54,16.9
2021-11-01 09:35:00+00:00,486,54,16.8
2021-11-01 09:45:00+00:00,463,54,16.8
2021-11-01 09:55:00+00:00,478,54,16.9
2021-11-01 10:00:00+00:00,477,54,16.9
2021-11-01 10:10:00+00:00,480,53,17
2021-11-01 10:20:00+00:00,465,54,17.4
2021-11-01 10:30:00+00:00,471,53,18
2021-11-01 10:45:00+00:00,478,52,18.7
2021-11-01 10:55:00+00:00,470,48,20.1
2021-11-01 11:05:00+00:00,454,46,21.3
2021-11-01 11:15:00+00:00,461,46,21.8
2021-11-01 11:20:00+00:00,466,46,21.8
2021-11-01 11:30:00+00:00,490,45,22.1
2021-11-01 11:40:00+00:00,455,45,22.1
2021-11-01 11:50:00+00:00,457,44,22.4
2021-11-01 11:55:00+00:00,479,44,22.4
2021-11-01 12:05:00+00:00,441,44,22.2
2021-11-01 12:15:00+00:00,459,44,21.8
2021-11-01 12:25:00+00:00,469,44,21.5
2021-11-01 12:30:00+00:00,442,44,21.5
2021-11-01 12:40:00+00:00,479,44,21.7
2021-11-01 12:50:00+00:00,461,43,21.7
2021-11-01 12:55:00+00:00,424,43,21.7
2021-11-01 13:05:00+00:00,435,43,21.6
2021-11-01 13:15:00+00:00,433,43,21.8
2021-11-01 13:20:00+00:00,454,43,21.8
2021-11-01 13:30:00+00:00,444,44,21
2021-11-01 13:40:00+00:00,463,45,20.7
2021-11-01 13:45:00+00:00,434,45,20.7
2021-11-01 14:05:00+00:00,438,45,20.3
2021-11-01 14:10:00+00:00,439,45,20.3
2021-11-01 14:20:00+00:00,435,45,20.2
2021-11-01 14:30:00+00:00,444,45,20.1
2021-11-01 14:45:00+00:00,503,45,20.2
2021-11-01 14:55:00+00:00,475,44,20.4
2021-11-01 15:05:00+00:00,465,44,20.4
2021-11-01 15:10:00+00:00,464,44,20.3
2021-11-01 15:20:00+00:00,454,44,20.4
2021-11-01 15:30:00+00:00,459,44,20.4
2021-11-01 15:35:00+00:00,462,44,20.4
2021-11-01 15:45:00+00:00,450,44,20.6
2021-11-01 15:55:00+00:00,498,44,20.3
2021-11-01 16:00:00+00:00,485,44,20.3
2021-11-01 16:10:00+00:00,496,45,20.3
2021-11-01 16:35:00+00:00,504,44,20.8
2021-11-01 16:45:00+00:00,480,44,20.9
